,Category,Value
0,Array System,162987470.77523443
1,Export System,656324681.5999999
2,Offshore Substation,669908154.0985659
3,Scour Protection,21303040.0
4,Substructure,1663452992.3350477
5,Array System Installation,148549195.16479337
6,Export System Installation,42806273.47361744
7,Offshore Substation Installation,11644709.684180597
8,Scour Protection Installation,42274339.96109659
9,Substructure Installation,150373895.40209508
10,Turbine Installation,284061022.23965716
11,Turbine,4594867200.0
12,Project,60637927.0
13,Construction Insurance,97855695.36994432
14,Decommissioning,118949151.28695202
15,Commissioning,97855695.36994432
16,Procurement Contingency,450195184.2840088
17,Installation Contingency,234499755.39427686
18,Construction Financing,656253317.032976
19,Total,10164799700.472391
