,Category,Value
0,Array System,64.25693600529753
1,Export System,259.9940227121212
2,Offshore Substation,261.8080450426626
3,Scour Protection,8.234013605442177
4,Substructure,633.255438195509
5,Array System Installation,59.78049294968753
6,Export System Installation,17.16281064283549
7,Offshore Substation Installation,4.686161307063393
8,Scour Protection Installation,17.01241105925336
9,Substructure Installation,60.514720023049314
10,Turbine Installation,114.31421123982695
11,Turbine,1770.0
12,Project,24.402438543599256
13,Construction Insurance,37.897349565252995
14,Decommissioning,47.857391263800295
15,Commissioning,37.897349565252995
16,Procurement Contingency,173.76217641101633
17,Installation Contingency,94.34742849149201
18,Construction Financing,254.417383951962
19,Total,3941.6007805751246
