,Category,Value
0,Array System,66425994.56475669
1,Export System,319648674.0
2,Offshore Substation,310019439.5
3,Scour Protection,6451920.0
4,Substructure,526660983.3169843
5,Array System Installation,48040865.225765675
6,Export System Installation,16974176.782076683
7,Offshore Substation Installation,3480615.65431726
8,Scour Protection Installation,10167248.457658447
9,Substructure Installation,88797465.3153548
10,Turbine Installation,178995855.2725229
11,Turbine,1438560000.0
12,Project,107277941.0
13,Construction Insurance,35897263.55952852
14,Decommissioning,60629839.673846744
15,Commissioning,35897263.55952852
16,Procurement Contingency,159565084.76195008
17,Installation Contingency,119527398.21415502
18,Construction Financing,237952485.0727855
19,Total,3770970513.931231
