,Category,Value
0,Array System,83.64670575226238
1,Export System,404.4478377462963
2,Offshore Substation,385.88293367283956
3,Scour Protection,7.965333333333334
4,Substructure,640.0671440324564
5,Array System Installation,61.75114199437827
6,Export System Installation,21.786689507662626
7,Offshore Substation Installation,4.473934561005311
8,Scour Protection Installation,13.0688524439646
9,Substructure Installation,114.1390159452109
10,Turbine Installation,230.0787602699773
11,Turbine,1770.0
12,Project,137.89365925925927
13,Construction Insurance,44.56482309796443
14,Decommissioning,77.92721907638482
15,Commissioning,44.56482309796443
16,Procurement Contingency,197.2194577932957
17,Installation Contingency,153.62794617915864
18,Construction Financing,295.5677871403002
19,Total,4688.674064903715
