,Category,Value
0,Array System,202.66542446205233
1,Export System,400.93383855
2,Offshore Substation,349.1772299470554
3,Scour Protection,8.91
4,Substructure,661.1893228684027
5,Array System Installation,132.28603664408908
6,Export System Installation,36.99899475317976
7,Offshore Substation Installation,7.9044384474148774
8,Scour Protection Installation,25.04006253594748
9,Substructure Installation,74.17067667597907
10,Turbine Installation,128.7943874561898
11,Turbine,1637.0
12,Project,267.1816
13,Construction Insurance,45.22089814191357
14,Decommissioning,70.90905438974
15,Commissioning,45.22089814191357
16,Procurement Contingency,202.80580141008187
17,Installation Contingency,139.792135796916
18,Construction Financing,289.5807777492154
19,Total,4725.781577970091
