,Category,Value
0,Array System,305.8961575979929
1,Export System,379.864393501128
2,Substructure,1341.4152980333333
3,Mooring System,568.4641872136723
4,Offshore Substation,387.5906341021726
5,Array System Installation,220.5111574772151
6,Export System Installation,94.66908698767516
7,Substructure Installation,139.21763396499242
8,Mooring System Installation,118.62147228995407
9,Offshore Substation Installation,14.647022230308217
10,Turbine,1776.0
11,Project,288.5636083333333
12,Construction Insurance,64.80779749491543
13,Decommissioning,102.84161526627537
14,Commissioning,64.80779749491543
15,Procurement Contingency,290.2481710299438
16,Installation Contingency,202.74489866780002
17,Construction Financing,421.7862706332849
18,Total,6782.697202318913
